PWY0-1465	1.1.1.83	D-malate dehydrogenase (decarboxylating)
GAMMAHEXCHLORDEG-PWY	1.3.1.32	maleylacetate reductase
PWY-6178	1.3.1.32	maleylacetate reductase
PWY-6107	1.3.1.32	maleylacetate reductase
PWY-6094	1.3.1.32	maleylacetate reductase
PWY-6087	1.3.1.32	maleylacetate reductase
PWY-6084	1.3.1.32	maleylacetate reductase
PWY-6089	1.3.1.32	maleylacetate reductase
PWY-6093	1.3.1.32	maleylacetate reductase
14DICHLORBENZDEG-PWY	1.3.1.32	maleylacetate reductase
PWY-6041	1.3.1.32	maleylacetate reductase
PWY-5487	1.3.1.32	maleylacetate reductase
PWY-6703	4.3.99.3	7-carboxy-7-deazaguanine synthase
PWY-5947	1.14.99.-	&beta;-ring hydroxylase
PWY-5947	1.14.99.45	zeinoxanthin &epsilon;-monooxygenase
PWY-5497	3.5.1.-	4-ureido-5-imidazolecarboxylate amidohydrolase
P164-PWY	3.5.1.-	4-ureido-5-imidazolecarboxylate amidohydrolase
PWY-6572	4.2.2.21	chondroitin 6-sulfate exolyase
TRPIAACAT-PWY	1.2.3.7	(indol-3-yl)acetaldehyde:oxygen oxidoreductase
PWY-3181	1.2.3.7	(indol-3-yl)acetaldehyde:oxygen oxidoreductase
PWY-1741	2.4.1.156	UDP-galactose:indol-3-ylacetyl-myo-inositol 5-O-D-galactosyltransferase
PWY-6572	4.2.2.20	dermatan sulfate endolyase
PWY-782	1.14.19.-	1-18:1-2-16:2-monogalactosyldiacylglycerol synthase
TEICHOICACID-PWY	2.7.8.12	CDP-glycerol : poly(glycerophosphate) glycerophosphotransferase
PWY-7282	1.4.3.5	pyridoxine 5'-phosphate oxidase
PWY-7204	1.4.3.5	pyridoxine 5'-phosphate oxidase
PYRIDOXSYN-PWY	1.4.3.5	pyridoxine 5'-phosphate oxidase
PLPSAL-PWY	1.4.3.5	pyridoxine 5'-phosphate oxidase
PWY-782	1.14.99.-	1-18:1-2-16:3-monogalactosyldiacylglycerol desaturase
PWY3O-6	1.1.1.116	D-arabinose dehydrogenase
PWYG-321	2.3.1.-	arabinogalactan:trehalose-cis-keto-mycolate mycolyltransferase
PWYG-321	2.3.1.-	arabinogalactan:trehalose-trans-methoxy-mono-mycolate mycolyltransferase
PWY-7180	5.4.2.7	deoxyribose 1,5-phosphomutase
PWYG-321	2.3.1.-	arabinogalactan: trehalose-mono-mycolate mycolyltransferase
PWY-6397	2.3.1.-	arabinogalactan: trehalose-mono-mycolate mycolyltransferase
PWY-6984	2.7.7.63	lipoate-ATP adenylate transferase
PWY0-522	2.7.7.63	lipoate-ATP adenylate transferase
PWY66-4	1.3.1.70	4,4-dimethyl-5&alpha;-cholesta-8,24-dien-3&beta;-ol:NADP+ &Delta;14-oxidoreductase
PWY66-341	1.3.1.70	4,4-dimethyl-5&alpha;-cholesta-8,24-dien-3&beta;-ol:NADP+ &Delta;14-oxidoreductase
PWY-6074	1.3.1.70	4,4-dimethyl-5&alpha;-cholesta-8,24-dien-3&beta;-ol:NADP+ &Delta;14-oxidoreductase
PWY-782	1.14.19.-	1-18:3-2-16:0-monogalactosyldiacylglycerol desaturase
PWY-7283	2.1.1.290	7-(3-amino-3-carboxypropyl)-wyosine methyltransferase
PWY-6278	4.2.3.74	presilphiperfolan-8&beta;-ol synthase
PWY-6581	4.2.1.131	<i>all-trans</i>-lycopene hydratase
PWY-6279	4.2.1.131	<i>all-trans</i>-lycopene hydratase
PWY-7498	2.1.1.88	gossypetin 8-<i>O</i>-methyltransferase
PWY-7495	2.1.1.88	gossypetin 8-<i>O</i>-methyltransferase
PWY-782	1.14.19.-	1-18:2-2-16:0-monogalactosyldiacylglycerol desaturase
PWY-7283	2.3.1.231	7-(3-amino-3-methylcarboxypropyl)-wyosine carboxycarbonylase
PWY-7285	2.1.1.-	tRNA 4-demethylwyosine<sup>37</sup>-methyltransferase
PWY-6174	2.7.4.26	isopentenyl phosphate kinase
PWYG-321	4.2.1.59	(R)-3-hydroxycerotyl-[acp] dehydratase
PWY-6113	4.2.1.59	(R)-3-hydroxycerotyl-[acp] dehydratase
PWYG-321	1.1.1.100	3-oxocerotoyl-[acp] reductase
PWY-6113	1.1.1.100	3-oxocerotoyl-[acp] reductase
PWY-6797	3.5.4.39	GTP cyclohydrolase
PWYG-321	1.3.1.9	a trans-hexacos-2-enoyl-[acp] reductase
PWY-6113	1.3.1.9	a trans-hexacos-2-enoyl-[acp] reductase
PWY-5197	1.1.1.-	methylglyoxal reductase
PWY-7234	6.3.4.23	5-formaminoimidazole-4-carboxamide-1-&beta;-D-ribofuranosyl 5'-monophosphate synthetase
PWY3O-4108	2.6.1.58	L-tyrosine:pyruvate aminotransferase
PWY-2421	1.14.13.-	2-hydroxy-indole-3-acetate monooxygenase
PWYG-321	2.3.1.179	cis,cis-delta15,33-C52:2-[acyl-carrier protein]:malonyl-[acyl-carrier protein] malonyltransferase
PWY-7093	4.1.2.10	(R)-mandelonitrile lyase
PWY-6011	4.1.2.10	(R)-mandelonitrile lyase
PWYG-321	2.3.1.-	cis-methoxy-meroacyl-AMP:2-carboxyl-cerotoyl-CoA 4'-phosphopentetheinyl transferase
HISTSYN-PWY	5.3.1.16	N-(5'-phospho-L-ribosyl-formimino)-5-amino-1-(5'-phosphoribosyl)-4-imidazolecarboxamide isomerase
PWY-5940	2.6.1.56	L-alanine:D-1-guanidino-1-deoxy-3-dehydro-<i>scyllo</i>-inositol transaminase
PWY-6896	2.7.1.89	thiamin kinase
THRDLCTCAT-PWY	1.4.3.21	aminoacetone oxidase
PWY-6786	1.3.1.-	crotonaldehyde redutase
HEMESYN2-PWY	1.3.99.22	coproporphyrinogen III dehydrogenase
PWY0-1319	2.3.1.15	acyl-acp:<i>sn</i>-glycerol-3-phosphate 1-<i>O</i>-acyltransferase
PWY-1269	2.7.7.38	3-deoxy-D-<i>manno</i>-octulosonate cytidylyltransferase
PWY-5111	2.7.7.38	3-deoxy-D-<i>manno</i>-octulosonate cytidylyltransferase
PWY-6241	1.11.1.8	[thyroglobulin]-3,5-diiodotyrosine synthase
PWY-6241	1.11.1.8	[thyroglobulin]-3-iodotyrosine synthase
PWY-6786	1.3.1.-	1-penten-3-one reductase
PWY-6944	1.14.14.12	3-hydroxy-9,10-seconandrost-1,3,5(10)-triene-9,17-dione 4-monooxygenase
PWY66-378	5.3.3.1	5-androstene-3,17-dione isomerase
PWY-7384	6.2.1.5	succinyl-CoA synthetase
PWY-5913	6.2.1.5	succinyl-CoA synthetase
PWY-6969	6.2.1.5	succinyl-CoA synthetase
PWY-5392	6.2.1.5	succinyl-CoA synthetase
P42-PWY	6.2.1.5	succinyl-CoA synthetase
P23-PWY	6.2.1.5	succinyl-CoA synthetase
PWY66-398	6.2.1.5	succinyl-CoA synthetase
TCA	6.2.1.5	succinyl-CoA synthetase
PWY-6728	6.2.1.5	succinyl-CoA synthetase
PWY-5690	6.2.1.5	succinyl-CoA synthetase
PWY-5538	6.2.1.5	succinyl-CoA synthetase
PWY-5537	6.2.1.5	succinyl-CoA synthetase
PWY-6841	2.3.2.-	homophytochelatin synthase
PWY-5971	1.3.1.9	myristoyl-[acyl-carrier-protein] reductase
PWY-5971	1.3.1.9	palmitoyl-[acyl-carrier-protein] reductase
PWY-5971	1.3.1.9	decanoyl-[acyl-carrier-protein] reductase
PWY-6841	2.3.2.-	homophytochelatin synthase
PWY-6168	2.5.1.9	riboflavin synthase
PWY-6167	2.5.1.9	riboflavin synthase
RIBOSYN2-PWY	2.5.1.9	riboflavin synthase
PWY-5997	1.14.19.-	linolenate &Delta;<sup>15</sup> desaturase
PWY-6005	5.4.99.53	marneral synthase
PWY-5995	1.14.19.6	oleate &Delta;<sup>12</sup> desaturase
PWY-6953	5.3.2.3	dTDP-6-deoxy-3,4-keto-hexulose isomerase
P542-PWY	3.1.6.6	choline sulfatase
PWY-5427	5.99.1.4	2-hydroxychromene-2-carboxylate isomerase
PWYG-321	2.3.1.179	cis,cis-delta11,29-C48:2-[acyl-carrier protein]:malonyl-[acyl-carrier protein] malonyltransferase
PWY-4841	2.7.7.44	glucuronate-1-phosphate uridylyltransferase
PWY-6700	1.7.1.13	7-cyano-7-deazaguanine reductase
PWY66-382	1.14.15.5	corticosterone 18-hydroxylase
PWY-7033	4.1.99.-	aldehyde decarbonylase
PWY-7219	6.3.4.4	adenylosuccinate synthetase
PWY-7035	4.1.99.-	15-tetracosanal carbonylase
PWY-7341	1.14.11.14	hyoscyamine 6 &beta;-hydroxylase
PWY-5317	1.14.11.14	hyoscyamine 6 &beta;-hydroxylase
PWY-5035	1.14.11.-	GA38 3&beta;-hydroxylase
PWY-5036	1.14.11.-	(gibberellin-15),2-oxoglutarate:oxygen oxidoreductase (3&beta;-hydroxylating)
PWY-5070	1.14.11.-	(gibberellin-24),2-oxoglutarate:oxygen oxidoreductase (3&beta;-hydroxylating)
GLYCGREAT-PWY	2.1.4.1	glycine amidinotransferase
PWY-7288	4.2.1.119	trans-2-enoyl-CoA hydratase 2
PWY66-391	4.2.1.119	trans-2-enoyl-CoA hydratase 2
PWY-6657	4.2.1.119	trans-2-enoyl-CoA hydratase 2
PWY-5138	4.2.1.119	trans-2-enoyl-CoA hydratase 2
PWY-5080	1.1.1.330	very-long-chain 3-oxoacyl-CoA reductase
PWY-5392	4.1.3.34	citryl-coA lyase
PWY-5078	1.1.1.1	2-methylbutanol dehydrogenase
PWY-5080	2.3.1.199	very-long-chain 3-ketoacyl-CoA synthase
PWYG-321	2.3.1.41	beta-keto-acyl synthase homolog
PWY-6871	1.1.1.1	3-methylbutanol dehydrogenase
PWY-5076	1.1.1.1	3-methylbutanol dehydrogenase
PWY-6871	4.1.1.1	4-methyl-2-oxopentanoate decarboxylase
PWY-5076	4.1.1.1	4-methyl-2-oxopentanoate decarboxylase
PWY-6074	1.1.1.270	3-keto-4-methylzymosterol reductase
PWY66-4	1.1.1.270	3-keto-4-methylzymosterol reductase
PWY66-341	1.1.1.270	3-keto-4-methylzymosterol reductase
PWY-2541	1.1.1.-	4&alpha;-carboxy-stigmasta-7,24(24<sup>1</sup>)-dien-3&beta;-ol dehydrogenase/C4-decarboxylase
PWY-2541	1.1.1.-	avenastenone reductase
HYDROXYPRODEG-PWY	4.1.3.16	4-hydroxy-2-oxoglutarate aldolase
PWY-2541	1.14.13.-	4&alpha;-hydroxymethyl-stigmasta-7,24(24<sup>1</sup>)-dien-3&beta;-ol-methyl oxidase
PWY-2541	1.14.13.-	4&alpha;-formyl-stigmasta-7,24(24<sup>1</sup>)-dien-3&beta;-ol-methyl oxidase
PWY-2541	1.14.13.-	24-methylenelophenol methyl oxidase
PWY-2541	1.14.13.-	4&alpha;-hydroxymethyl-ergosta-7,24(24<sup>1</sup>)-dien-3&beta;-ol-methyl oxidase
PWY-2541	1.14.13.-	4&alpha;-formyl-ergosta-7,24(24<sup>1</sup>)-dien-3&beta;-ol-methyl oxidase
PWY-2541	1.1.1.-	4&alpha;-carboxy-ergosta-7,24(24<sup>1</sup>)-dien-3&beta;-ol hydroxysteroid dehydrogenase / C4-decarboxylase
PWY-7089	3.2.1.21	taxiphyllin &beta;-glucosidase
PWY-7091	3.2.1.21	linustatinase (&beta;-diglucosidase)
PWY-7092	3.2.1.21	neolinustatinase (&beta;-diglucosidase)
ILEUSYN-PWY	2.6.1.42	isoleucine transaminase
ILEUDEG-PWY	2.6.1.42	isoleucine transaminase
PWY-5101	2.6.1.42	isoleucine transaminase
PWY-5104	2.6.1.42	isoleucine transaminase
PWY-5108	2.6.1.42	isoleucine transaminase
PWY-5103	2.6.1.42	isoleucine transaminase
PWY-5078	2.6.1.42	isoleucine transaminase
PWY-5994	2.3.1.86	(R)-3-hydroxyhexanoyl-[acp] reductase
PWY-5971	2.3.1.86	(R)-3-hydroxyhexanoyl-[acp] reductase
PWY-5154	2.1.3.9	acetylornithine transcarbamylase
PWY0-1221	1.2.1.-	&gamma;-glutamyl-&gamma;-aminobutyraldehyde dehydrogenase
PWY-6061	1.3.1.3	7&alpha;-hydroxycholest-4-en-3-one reductase
PWY-6061	1.1.1.213	7&alpha;-hydroxy-5&beta;-cholestan-3-one 3&alpha;-reductase
PWY-7388	2.3.1.86	acetoacetyl-[acp] reductase
PWY-5994	2.3.1.86	acetoacetyl-[acp] reductase
PWY-5971	2.3.1.86	acetoacetyl-[acp] reductase
PWY-7388	1.3.1.10	enoyl-[acyl-carrier-protein] reductase, mitochondrial
PWY-5994	1.3.1.10	enoyl-[acyl-carrier-protein] reductase, mitochondrial
PWY-7388	2.3.1.41	&beta;-ketohexanoyl-[acp] synthase
PWY-5971	2.3.1.41	&beta;-ketohexanoyl-[acp] synthase
PWY-6061	5.1.99.4	alpha-methylacyl-CoA racemase
PWY-5270	1.1.1.247	codeine:NADP+ oxidoreductase
PWYG-321	2.3.1.179	cis,cis-delta19-37-C56:2-[acyl-carrier protein]:malonyl-[acyl-carrier protein] malonyltransferase
PWYG-321	2.3.1.179	cis,cis-delta9,21-C40:2-[acyl-carrier protein]:malonyl-[acyl-carrier protein] malonyltransferase
PWY-5940	2.7.7.33	&alpha;-D-glucose-1-phosphate cytidylyltransferase
PWY-5833	2.7.7.33	&alpha;-D-glucose-1-phosphate cytidylyltransferase
PWY-7153	4.1.99.20	3-amino-4-hydroxybenzoic acid synthase
ASPSYNII-PWY	4.4.1.9	&beta;-cyanoalanine synthase
P401-PWY	4.4.1.9	&beta;-cyanoalanine synthase
PWY-0	1.2.1.3	4-acetamidobutanal dehydrogenase
PWY-6493	1.1.1.332	chanoclavine-I dehydrogenase
PWY-7189	2.4.1.-	6C-2,5,7-trihydroxyflavanone dibenzoylmethane tautomer glucosyltransferase
PWY-7057	3.2.1.-	cichorrin transglucosylase (&beta;-glucosidase activity)
PWY-7057	2.4.1.104	esculetin 7-<i>O</i>-glucosyltransferase
PWY0-1261	4.2.1.126	<i>N</i>-acetylmuramic acid 6-phosphate etherase
PWY-43	3.5.1.53	<i>N</i>-carbamoylputrescine amidohydrolase
ARGDEG-III-PWY	3.5.1.53	<i>N</i>-carbamoylputrescine amidohydrolase
PWY-7248	3.1.1.11	pectin methylesterase
PWY-7246	3.1.1.11	pectin methylesterase
CALVIN-PWY	5.3.1.6	ribose-5-phosphate isomerase
PWY-5723	5.3.1.6	ribose-5-phosphate isomerase
NONOXIPENT-PWY	5.3.1.6	ribose-5-phosphate isomerase
P124-PWY	5.3.1.6	ribose-5-phosphate isomerase
P185-PWY	5.3.1.6	ribose-5-phosphate isomerase
PWY-1861	5.3.1.6	ribose-5-phosphate isomerase
PWY-83	2.4.1.111	UDP-glucose:sinapyl-alcohol 4-&beta;-D-glucosyltransferase
PWY-7189	1.14.13.-	pinocembrin 2-hydroxylase
VALDEG-PWY	2.6.1.22	4-aminobutyrate aminotransferase, mitochondrial
14DICHLORBENZDEG-PWY	1.14.12.-	1,4-dichlorobenzene dioxygenase
PWY-6361	2.7.1.151	myo-inositol-1,4,5-trisphosphate 6-kinase
PWY-5707	5.3.-.-	lachrymatory factor synthase
PWY-5469	1.14.13.-	Piperitol synthase
GLUCARDEG-PWY	4.1.2.20	&alpha;-dehydro-&beta;-deoxy-<i>D</i>-glucarate aldolase
GALACTARDEG-PWY	4.1.2.20	&alpha;-dehydro-&beta;-deoxy-<i>D</i>-glucarate aldolase
PWY-6876	3.1.2.11	acetoacetyl-CoA transferase
PWY-7415	2.1.1.101	macrocin <i>O</i>-methyltransferase
PWY-5708	4.4.1.4	ethin ethyl-sulfenate-lyase (ammonia-forming)
PWY6666-1	3.5.1.99	anandamide amidohydrolase
PWY-7219	2.7.4.3	adenylate kinase
RHAMCAT-PWY	4.1.2.19	rhamnulose-1-phosphate aldolase
PWY-7219	4.3.2.2	adenylosuccinate lyase
PWY-7431	1.4.3.4	dopamine oxidase
PWY6666-2	1.4.3.4	dopamine oxidase
PWY-6689	2.7.1.160	tRNA 2'-phosphotransferase
PWY6666-2	2.8.2.1	dopamine sulfotransferase
GLYCOGENSYNTH-PWY	5.1.3.15	D-glucose 6-phosphate 1-epimerase
PWY-621	5.1.3.15	D-glucose 6-phosphate 1-epimerase
PWY-2723	5.1.3.15	D-glucose 6-phosphate 1-epimerase
PWY-7343	5.1.3.15	D-glucose 6-phosphate 1-epimerase
GLUCOSE1PMETAB-PWY	5.1.3.15	D-glucose 6-phosphate 1-epimerase
PWY-622	5.1.3.15	D-glucose 6-phosphate 1-epimerase
PWY-7238	5.1.3.15	D-glucose 6-phosphate 1-epimerase
PWY-5940	5.1.3.15	D-glucose 6-phosphate 1-epimerase
PWY-6981	5.1.3.15	D-glucose 6-phosphate 1-epimerase
PWY-6737	5.1.3.15	D-glucose 6-phosphate 1-epimerase
PWY-6731	5.1.3.15	D-glucose 6-phosphate 1-epimerase
PWY-5661	5.1.3.15	D-glucose 6-phosphate 1-epimerase
PWY-5384	5.1.3.15	D-glucose 6-phosphate 1-epimerase
PWY-7106	2.4.1.278	3-L-mycarosyl erythronolide B desosaminyltransferase
PWY-6971	2.4.1.-	oleandolide olivosyltransferase
PWY-7422	2.4.1.277	10-deoxymethynolide desosaminyltransferase
PWY-6953	2.3.1.197	dTDP-3-amino-3,6-dideoxy-&alpha;-D-galactopyranose 3-<i>N</i>-acetyltransferase
PWY-7412	2.1.1.238	mycinamicin VI 2''-<i>O</i>-methyltransferase
PWY-7412	2.1.1.237	mycinamicin III 3''-<i>O</i>-methyltransferase
PWY-6971	2.4.1.-	L-oleandrosyl-oleandolide desosaminyltransferase
PWY-6971	2.1.1.239	L-olivosyl-oleandolide 3-<i>O</i>-methyltransferase
PWY-4984	6.3.4.16	ammonia-dependent carbamoyl-phosphate synthase
PWY-5321	2.4.1.-	quercetin 3-<i>O</i>-rhamnoside-glucosyltransferase
PWY-5422	1.14.13.-	isopimaradienal hydroxylase
PWYG-321	4.2.1.59	3-cis,cis-delta17,29-3-hydroxyC48:2-[acyl-carrier protein] dehydratase
PWY-3602	1.1.1.108	L-carnitine dehydrogenase
PWY-7472	1.1.1.108	L-carnitine dehydrogenase
PWY-7381	2.8.1.8	lipoyl synthase
PWY-6644	2.5.1.63	5'-fluoro-5'-deoxyadenosine synthase
PWY-7382	2.3.1.-	octanoyl-CoA-protein transferase
PWY-7382	2.8.1.8	lipoyl synthase
PWY-7382	2.8.1.8	lipoyl synthase
PWY-7382	2.3.1.-	octanoyl-CoA-protein transferase
PWY-7424	2.3.1.26	acyl-CoA:sterol acyltransferase
PWY-2503	1.3.1.25	(1R,6S)-1,6-dihydroxycyclohexa-2,4-diene-1-carboxylate:NAD+ oxidoreductase (decarboxylating)
PWY-7424	2.3.1.26	acyl-CoA:sterol acyltransferase
PWY-7424	3.1.1.13	steryl ester hydrolase
PWY-5394	1.13.11.29	4,5-DOPA-dioxygenase
PWY-6871	2.3.3.13	2-isopropylmalate synthase
LEUSYN-PWY	2.3.3.13	2-isopropylmalate synthase
PWY-6944	1.2.1.87	propanal dehydrogenase
PWY-7013	1.2.1.87	propanal dehydrogenase
PWY-5644	4.1.3.43	4-hydroxy-2-oxohexanoate aldolase
PWY-6944	4.1.3.43	4-hydroxy-2-oxohexanoate aldolase
PWY-6944	4.2.1.132	2-hydroxyhexa-2,4-dienoate hydratase
PWY-5419	1.13.11.2	catechol dioxygenase
P183-PWY	1.13.11.2	catechol dioxygenase
PWY-7482	4.2.3.146	cyclooctat-9-en-7-ol synthase
PWY-5198	2.7.7.68	2-phospho-L-lactate guanylyltransferase
PWY-6193	3.1.1.45	dienelactone hydrolase
PWY-6087	3.1.1.45	dienelactone hydrolase
PWY-5198	2.7.8.28	LPPG:Fo 2-phospho-L-lactate transferase
PWY-5198	2.5.1.77	7,8-didemethyl-8-hydroxy-5-deazariboflavin synthase
PWY-3261	4.2.1.76	UDP-glucose 4,6-dehydratase
PWY0-166	1.17.4.1	2'-deoxycytidine diphosphate:oxidized NrdH glutaredoxin-like protein oxidoreductase
METH-ACETATE-PWY	2.3.1.169	acetyl-CoA:corrinoid protein Co-methyltransferase (CO-forming)
CODH-PWY	2.3.1.169	acetyl-CoA:corrinoid protein Co-methyltransferase (CO-forming)
PWY-5389	1.13.11.53	1,2-dihydroxy-5-(methylthio)pent-1-en-3-one:oxygen oxidoreductase (formate- and CO-forming)
PWY-6806	1.14.99.42	zeaxanthin cleavage dioxygenase
PWY-5397	1.14.99.42	zeaxanthin cleavage dioxygenase
PWY-6494	1.14.-.-	gibberellin A12 16&alpha;,17 epoxidase
4-HYDROXYMANDELATE-DEGRADATION-PWY	1.1.5.-	(S)-mandelate dehydrogenase
PWY-6494	1.14.-.-	gibberellin A4 16&alpha;,17 epoxidase
PWY-6477	2.1.1.-	GA4 carboxyl methyltransferase
PWY-7184	1.17.4.1	UDP reductase
PWY-6545	1.17.4.1	UDP reductase
PWY0-166	1.17.4.1	UDP reductase
PWY-6491	1.1.1.372	L-glyceraldehyde reductase
PWY-6491	4.1.2.54	2-keto-3-deoxy-L-galactonate aldolase
PWY-6491	4.2.1.146	L-galactonate dehydratase
PWY-861	2.4.1.85	UDP-glucose:<I>p</I>-hydroxymandelonitrile-<I>O</I>-glucosyltransferase
PWY-6852	1.14.13.101	pyrrolizidine alkaloid N-oxygenase
PWY-6494	1.14.-.-	gibberellin A9 16&alpha;,17 epoxidase
P184-PWY	1.1.1.312	2-hydroxy-4-carboxymuconate-6-semialdehyde dehydrogenase
PWY-6518	1.1.1.176	cholate 12&alpha;-hydroxy dehydrogenase
PWY-5632	2.3.1.175	deacetylcephalosporin C acetyltransferase
PWY-7191	2.4.1.234	kaempferol 3-<i>O</i>-&beta;-<i>D</i>-galactosyltransferase
COBALSYN-PWY	2.7.8.26	adenosyl-cobalamin-5'-phosphate synthase
PWY-5509	2.7.8.26	adenosyl-cobalamin-5'-phosphate synthase
PWY-5110	2.1.1.7	nicotinate N-methyltransferase
P201-PWY	4.99.1.-	nitroglycerin reductase (1,3-dinitroglycerol-forming)
PWY-6387	6.3.2.9	UDP-<i>N</i>-acetylmuramoyl-L-alanine:D-glutamate ligase
PWY-6386	6.3.2.9	UDP-<i>N</i>-acetylmuramoyl-L-alanine:D-glutamate ligase
NOPALINEDEG-PWY	1.5.-.-	nopaline oxidase
DHGLUCONATE-PYR-CAT-PWY	1.1.1.43	2-keto-6-phosphogluconate reductase
PWY-922	2.3.3.10	hydroxymethylglutaryl-CoA synthase
PWY-7391	2.3.3.10	hydroxymethylglutaryl-CoA synthase
PWY66-367	2.3.3.10	hydroxymethylglutaryl-CoA synthase
PWY-6174	2.3.3.10	hydroxymethylglutaryl-CoA synthase
P562-PWY	4.2.1.44	<i>scyllo</i>-inosose dehydratase
ARGININE-SYN4-PWY	1.4.1.3	glutamate dehydrogenase
GLUDEG-I-PWY	1.4.1.3	glutamate dehydrogenase
GLUTAMATE-SYN2-PWY	1.4.1.3	glutamate dehydrogenase
PWY-5766	1.4.1.3	glutamate dehydrogenase
7ALPHADEHYDROX-PWY	1.1.1.-	retinol dehydrogenase 9
PWY-5791	6.2.1.26	<i>o</i>-succinylbenzoate--CoA ligase
P661-PWY	1.13.11.-	2,2',3-trihydroxy-biphenyl dioxygenase
PWY66-378	1.1.1.64	Aldo-keto reductase family 1 member C3
PWYG-321	1.1.1.100	3-oxoacyl-[acyl-carrier-protein] reductase
PWY-5759	2.4.1.-	16-alpha-hydroxygypsogenate-UDP-glucosyltransferase
PWY-6626	1.1.1.-	glyceraldehyde reductase
PWY-6626	1.1.1.-	1,3-dihydroxyacetone reductase
PWY-6282	4.2.1.59	3-hydroxy <i>cis</i> &Delta;<sup>7</sup>-tetradecenoyl-[acp] dehydratase
PWY-6282	1.3.1.9	<i>cis</i>-&Delta;<sup>7</sup>-tetradecenoyl-[acp]:NAD+ oxidoreductase
PWY-6282	2.3.1.41	3-oxo-cis-&Delta;7-tetradecenoyl-[acp] synthase
PWY-6282	1.1.1.100	3-oxo-<i>cis</i>-&Delta;<sup>7</sup>-tetradecenoyl-[acp] reductase
PWY-6282	2.3.1.41	3-oxo-cis-&Delta;9-hexadecenoyl-[acp] synthase
PWY-6282	1.1.1.100	3-oxo-<i>cis</i>-&Delta;<sup>9</sup>-hexadecenoyl-[acp] reductase
PWY-6622	1.2.1.80	octadecanyl-[acp] reductase
PWY-7032	1.2.1.80	long-chain acyl-[acyl-carrier-protein] reductase
PWY-6623	2.4.1.-	2,5-DHBA UDP-glucosyltransferase
PWY-702	2.5.1.-	cystathionine &gamma;-synthase
PWY-6184	1.14.13.1	4-methylsalicylate 1-hydroxylase
PWY-6184	1.14.13.1	5-methylsalicylate 1-hydroxylase
PWY-7106	2.3.1.94	6-deoxyerythronolide B synthase
PWY-6178	1.14.14.-	2,6-dichlorohydroquinone monooxygenase
RUMP-PWY	1.1.1.343	6-phosphogluconate dehydrogenase
ARGDEG-IV-PWY	1.4.3.2	arginine oxidase
PWY-7337	2.3.1.16	3-ketoacyl-CoA thiolase
PWY-7338	5.3.3.-	&Delta;3-&Delta;2-enoyl-CoA isomerase
PWY-7337	5.3.3.-	&Delta;3-&Delta;2-enoyl-CoA isomerase
PWY-7337	1.3.1.34	2,4-dienoyl-CoA reductase
PWY-7337	1.3.3.6	fatty-acyl coenzyme A oxidase
PWY-6649	4.3.1.20	L-<i>erythro</i>-3-hydroxyaspartate ammonia-lyase
PWY-1422	2.1.1.95	&delta;-tocopherol methyltransferase
PWY-7337	4.2.1.119	<i>trans</i>--2-enoyl-CoA hydratase 2
PHOSPHONOTASE-PWY	3.11.1.1	phosphonoacetaldehyde hydrolase
PWYG-321	2.3.1.179	cis,cis-delta5,17-C36:2-[acyl-carrier protein]:malonyl-[acyl-carrier protein] malonyltransferase
GLYCOLYSIS	1.2.1.12	glyceraldehyde 3-phosphate dehydrogenase
PWY-5484	1.2.1.12	glyceraldehyde 3-phosphate dehydrogenase
ANAGLYCOLYSIS-PWY	1.2.1.12	glyceraldehyde 3-phosphate dehydrogenase
PWY-7003	1.2.1.12	glyceraldehyde 3-phosphate dehydrogenase
PWY66-400	1.2.1.12	glyceraldehyde 3-phosphate dehydrogenase
SUCSYN-PWY	1.2.1.12	glyceraldehyde 3-phosphate dehydrogenase
PWY-6901	1.2.1.12	glyceraldehyde 3-phosphate dehydrogenase
PWY66-399	1.2.1.12	glyceraldehyde 3-phosphate dehydrogenase
GLUCONEO-PWY	1.2.1.12	glyceraldehyde 3-phosphate dehydrogenase
P185-PWY	1.2.1.12	glyceraldehyde 3-phosphate dehydrogenase
P124-PWY	1.2.1.12	glyceraldehyde 3-phosphate dehydrogenase
P122-PWY	1.2.1.12	glyceraldehyde 3-phosphate dehydrogenase
PWY-1042	1.2.1.12	glyceraldehyde 3-phosphate dehydrogenase
PWY-5139	2.4.1.116	anthocyanidin-3-O-rutinoside-5-O-glucosyltransferase
PWY-6041	3.1.1.92	4-sulfomuconolactone hydrolase
PWY8J2-22	3.1.3.92	kanosamine-6-phosphate phosphatase
PWY-7357	2.7.1.49	hydroxymethylpyrimidine kinase
PWY-7356	2.7.1.49	hydroxymethylpyrimidine kinase
PWY-6910	2.7.1.49	hydroxymethylpyrimidine kinase
PWY490-4	6.1.1.-	aspartyl-tRNA<sup>Asn</sup> synthetase
PWY-2881	2.4.1.-	UDP-glucose:isopentenyladenine 7-N-glucosyltransferase
PWY-7277	2.7.8.27	sphingomyelin synthase
PWY3DJ-11281	2.7.8.27	sphingomyelin synthase
PWY-7396	1.1.1.-	butanol dehydrogenase
PWY-6883	1.1.1.-	butanol dehydrogenase
PWY-6583	1.1.1.-	butanol dehydrogenase
PWY-6241	1.11.1.8	[thyroglobulin]-L-thyroxine synthase
PWY-7384	4.2.1.2	fumarase C
PWY-5913	4.2.1.2	fumarase C
PWY-7254	4.2.1.2	fumarase C
